Year,Section,Slot,ScenarioText,ImageFiles,QuestionText,AnswerType,Options,CorrectAnswer
2022,DI-LR,1,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",,How many boys are there in the class?,Numerical,,50
2022,DI-LR,1,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",,Which of the following can be determined from the given information? I. The number of boys who are interested in attending a 1-day event and are neither dancers nor singers. II. The number of female dancers who are interested in attending a 1-day event.,MCQ,Neither I nor II | Both I and II | Only I | Only II,D
2022,DI-LR,1,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",,What fraction of the class are interested in attending a 2-day event?,MCQ,7/10 | 9/13 | 7/13 | 2/3,C
2022,DI-LR,1,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",,What BEST can be concluded about the number of male dancers who are interested in attending a 1-day event?,MCQ,5 or 6 | 4 or 6 | 5 | 6,A
2022,DI-LR,1,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",,How many female dancers are interested in attending a 2-day event?,MCQ,0 | 2 | Cannot be determined | 1,A
2022,DI-LR,1,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",images\2022_slot1_scen2_1.jpg,"If Hari is ready to board a train at 8:05 am from station M, then when is the earliest that he can reach station N?",MCQ,9:01 am | 9:13 am | 9:06 am | 9:11 am,D
2022,DI-LR,1,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",images\2022_slot1_scen2_1.jpg,"If Priya is ready to board a train at 10:25 am from station T, then when is the earliest that she can reach station S?",MCQ,11:22 am | 11:28 am | 11:12 am | 11:07 am,C
2022,DI-LR,1,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",images\2022_slot1_scen2_1.jpg,Haripriya is expected to reach station S late. What is the latest time by which she must be ready to board at station S if she must reach station B before 1 am via station R?,MCQ,11:35 pm | 11:39 pm | 11:43 pm | 11:49 am,B
2022,DI-LR,1,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",images\2022_slot1_scen2_1.jpg,What is the minimum number of trains that are required to provide the service on the AB line (considering both north and south directions)?,Numerical,,8
2022,DI-LR,1,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",images\2022_slot1_scen2_1.jpg,What is the minimum number of trains that are required to provide the service in this city?,Numerical,,48
