Year,Section,Slot,Topic,Question,AnswerType,Options,CorrectAnswer
2022,QA,1,,"Let ABCD be a parallelogram such that the coordinates of its three vertices A, B, C are
                                (1, 1), (3, 4) and (â2, 8), respectively. Then, the coordinates of the vertex D are",MCQ,"(â4, 5) | (4, 5) | (â3, 4) | (0, 11)",A
2022,QA,1,,"The number of ways of distributing 20 identical balloons among 4 children such that each
                                child gets some balloons but no child gets an odd number of balloons, is",Numerical,,84
2022,QA,1,,"A mixture contains lemon juice and sugar syrup in equal proportion. If a new mixture is
                                created by adding this mixture and sugar syrup in the ratio 1 : 3, then the ratio of
                                lemon juice and sugar syrup in the new mixture is",MCQ,1 : 6 | 1 : 4 | 1 : 5 | 1 : 7,D
2022,QA,1,,"For natural numbers \(x, y\), and \(z\), if \(x y+y z=19\) and \(y z+x z=51\), then the
                                minimum possible value of \(x y z\) is",Numerical,,34
2022,QA,1,,"Let \(a, b, c\) be non-zero real numbers such that \(b^2 \lt 4 a c\), and \(f(x)=a x^2+b
                                x+c\). If the set \(S\) consists of al integers \(m\) such that \(f(m)\lt0\), then the
                                set \(S\) must necessarily be",MCQ,the set of all integers | either the empty set or the set of all integers | the empty set | the set of all positive integers,B
2022,QA,1,,"Trains A and B start traveling at the same time towards each other with constant speeds
                                from stations X and Y, respectively. Train A reaches station Y in 10 minutes while train
                                B takes 9 minutes to reach station X after meeting train A. Then the total time taken,
                                in minutes, by train B to travel from station Y to station X is",MCQ,15 | 12 | 6 | 10,A
2022,QA,1,,"The average of three integers is 13 . When a natural number \(n\) is included, the
                                average of these four integers remains an odd integer. The minimum possible value of
                                \(n\) is",MCQ,3 | 4 | 5 | 1,C
2022,QA,1,,"Pinky is standing in a queue at a ticket counter. Suppose the ratio of the number of
                                persons standing ahead of Pinky to the number of persons standing behind her in the
                                queue is 3 : 5. If the total number of persons in the queue is less than 300, then the
                                maximum possible number of persons standing ahead of Pinky is",Numerical,,111
2022,QA,1,,"Ankita buys 4 kg cashews, 14 kg peanuts and 6 kg almonds when the cost of 7 kg cashews is
                                the same as that of 30 kg peanuts or 9 kg almonds. She mixes all the three nuts and
                                marks a price for the mixture in order to make a profit of â¹1752. She sells 4 kg of the
                                mixture at this marked price and the remaining at a 20% discount on the marked price,
                                thus making a total profit of â¹744. Then the amount, in rupees, that she had spent in
                                buying almonds is",MCQ,1440 | 1176 | 1680 | 2520,C
2022,QA,1,,"The largest real value of \(a\) for which the equation \(|x+a|+|x-1|=2\) has an infinite
                                number of solutions for \(x\) is",MCQ,-1 | 0 | 1 | 2,C
2022,QA,1,,"A trapezium \(\text{ABCD}\) has side \(\text{AD}\) parallel to \(\text{BC}, \angle
                                \text{BAD}=90^{\circ}, \text{BC}=3 \text{~cm}\) and \(\text{AD}=8 \text{~cm}\). If the
                                perimeter of this trapezium is \(36 \text{~cm}\), then its area, in sq. \(\text{cm}\),
                                is",Numerical,,66
2022,QA,1,,"For any real number \(x\), let \([x]\) be the largest integer less than or equal to
                                \(x\). If \(\sum_{n=1}^N\left[\frac{1}{5}+\frac{n}{25}\right]=25\) then \(N\) is",Numerical,,44
