Year,Slot,Section,Context,QuestionText,OptionA,OptionB,OptionC,OptionD,AnswerType,CorrectAnswer,ImageFiles,Unnamed: 12,Unnamed: 13,tag
2022,1,DI-LR,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",Which of the following can be determined from the given information? I. The number of boys who are interested in attending a 1-day event and are neither dancers nor singers. II. The number of female dancers who are interested in attending a 1-day event.,Neither I nor II,Both I and II,Only I,Only II,MCQ,D,,,,wrong
2022,1,DI-LR,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",What fraction of the class are interested in attending a 2-day event?,07-Oct,Sep-13,Jul-13,02-Mar,MCQ,C,,,,
2022,1,DI-LR,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",What BEST can be concluded about the number of male dancers who are interested in attending a 1-day event?,5 or 6,4 or 6,5,6,MCQ,A,,,,
2022,1,DI-LR,"There are 15 girls and some boys among the graduating students in a class. They are planning a get-together, which can be either a 1-day event, or a 2-day event, or a 3-day event. There are 6 singers in the class, 4 of them are boys. There are 10 dancers in the class, 4 of them are girls. No dancer in the class is a singer. Some students are not interested in attending the get-together. Those students who are interested in attending a 3-day event are also interested in attending a 2-day event; those who are interested in attending a 2-day event are also interested in attending a 1-day event. The following facts are also known: 1. All the girls and 80% of the boys are interested in attending a 1-day event. 60% of the boys are interested in attending a 2-day event. 2. Some of the girls are interested in attending a 1-day event, but not a 2-day event; some of the other girls are interested in attending both. 3. 70% of the boys who are interested in attending a 2-day event are neither singers nor dancers. 60% of the girls who are interested in attending a 2-day event are neither singers nor dancers. 4. No girl is interested in attending a 3-day event. All male singers and 2 of the dancers are interested in attending a 3-day event. 5. The number of singers interested in attending a 2-day event is one more than the number of dancers interested in attending a 2-day event.",How many female dancers are interested in attending a 2-day event?,0,2,Cannot be determined,1,MCQ,A,,,,
2022,1,DI-LR,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)","If Hari is ready to board a train at 8:05 am from station M, then when is the earliest that he can reach station N?",9:01 AM,9:13 AM,9:06 AM,9:11 AM,MCQ,D,images\2022_slot1_scen2_1.jpg,,,
2022,1,DI-LR,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)","If Priya is ready to board a train at 10:25 am from station T, then when is the earliest that she can reach station S?",11:22 AM,11:28 AM,11:12 AM,11:07 AM,MCQ,C,images\2022_slot1_scen2_1.jpg,,,
2022,1,DI-LR,"Given above is the schematic map of the metro lines in a city with rectangles denoting terminal stations (e.g. A), diamonds denoting junction stations (e.g. R) and small filled-up circles denoting other stations. Each train runs either in east-west or north-south direction, but not both. All trains stop for 2 minutes at each of the junction stations on the way and for 1 minute at each of the other stations. It takes 2 minutes to reach the next station for trains going in east-west direction and 3 minutes to reach the next station for trains going in north-south direction. From each terminal station, the first train starts at 6 am; the last trains leave the terminal stations at midnight. Otherwise, during the service hours, there are metro service every 15 minutes in the north-south lines and every 10 minutes in the east-west lines. A train must rest for at least 15 minutes after completing a trip at the terminal station, before it can undertake the next trip in the reverse direction. (All questions are related to this metro service only. Assume that if someone reaches a station exactly at the time a train is supposed to leave, (s)he can catch that train.)",Haripriya is expected to reach station S late. What is the latest time by which she must be ready to board at station S if she must reach station B before 1 am via station R?,11:35 PM,11:39 PM,11:43 PM,11:49 AM,MCQ,B,images\2022_slot1_scen2_1.jpg,,,
2022,1,DI-LR,"The management of a university hockey team was evaluating performance of four women players - Amla, Bimla, Harita and Sarita for their possible selection in the university team for next year. For this purpose, the management was looking at the number of goals scored by them in the past 8 matches, numbered 1 through 8. The four players together had scored a total of 12 goals in these matches. In the 8 matches, each of them had scored at least one goal. No two players had scored the same total number of goals. The following facts are known about the goals scored by these four players only. All the questions refer only to the goals scored by these four players. 1. Only one goal was scored in every even numbered match. 2. Harita scored more goals than Bimla. 3. The highest goal scorer scored goals in exactly 3 matches including Match 4 and Match 8. 4. Bimla scored a goal in Match 1 and one each in three other consecutive matches. 5. An equal number of goals were scored in Match 3 and Match 7, which was different from the number of goals scored in either Match 1 or Match 5. 6. The match in which the highest number of goals was scored was unique and it was not Match 5.",How many goals were scored in Match 7?,3,Cannot be determined,2,1,MCQ,D,,,,
2022,1,DI-LR,"The management of a university hockey team was evaluating performance of four women players - Amla, Bimla, Harita and Sarita for their possible selection in the university team for next year. For this purpose, the management was looking at the number of goals scored by them in the past 8 matches, numbered 1 through 8. The four players together had scored a total of 12 goals in these matches. In the 8 matches, each of them had scored at least one goal. No two players had scored the same total number of goals. The following facts are known about the goals scored by these four players only. All the questions refer only to the goals scored by these four players. 1. Only one goal was scored in every even numbered match. 2. Harita scored more goals than Bimla. 3. The highest goal scorer scored goals in exactly 3 matches including Match 4 and Match 8. 4. Bimla scored a goal in Match 1 and one each in three other consecutive matches. 5. An equal number of goals were scored in Match 3 and Match 7, which was different from the number of goals scored in either Match 1 or Match 5. 6. The match in which the highest number of goals was scored was unique and it was not Match 5.","Which of the following is the correct sequence of goals scored in matches 1, 3, 5 and 7?","3, 1, 2, 1","4, 1, 2, 1","5, 1, 0, 1","3, 2, 1, 2",MCQ,B,,,,
2022,1,DI-LR,"The management of a university hockey team was evaluating performance of four women players - Amla, Bimla, Harita and Sarita for their possible selection in the university team for next year. For this purpose, the management was looking at the number of goals scored by them in the past 8 matches, numbered 1 through 8. The four players together had scored a total of 12 goals in these matches. In the 8 matches, each of them had scored at least one goal. No two players had scored the same total number of goals. The following facts are known about the goals scored by these four players only. All the questions refer only to the goals scored by these four players. 1. Only one goal was scored in every even numbered match. 2. Harita scored more goals than Bimla. 3. The highest goal scorer scored goals in exactly 3 matches including Match 4 and Match 8. 4. Bimla scored a goal in Match 1 and one each in three other consecutive matches. 5. An equal number of goals were scored in Match 3 and Match 7, which was different from the number of goals scored in either Match 1 or Match 5. 6. The match in which the highest number of goals was scored was unique and it was not Match 5.",Which of the following statement(s) is/are true? Statement-1: Amla and Sarita never scored goals in the same match. Statement-2: Harita and Sarita never scored goals in the same match.,Statement-1 only,Both the statements,None of the statements,Statement-2 only,MCQ,B,,,,
